5.9646804E+05 6.092E-29 7.640E-29 9.507E-29 1.173E-28 1.432E-28 1.732E-28 2.075E-28 2.462E-28 2.895E-28 3.373E-28 3.893E-28 4.450E-28 5.039E-28 5.652E-28 6.278E-28 6.907E-28 7.526E-28 8.121E-28 8.675E-28 9.167E-28 9.573E-28 9.863E-28 9.999E-28 1.001E-27 9.982E-28 9.924E-28 9.831E-28 9.694E-28 9.499E-28 9.231E-28 8.868E-28 8.383E-28 7.741E-28 6.898E-28 5.793E-28 4.359E-28 2.501E-28 9.739E-30 3.656E-40 3.337E-40 3.019E-40 2.703E-40 2.391E-40 2.082E-40 1.776E-40 1.468E-40 1.152E-40 8.149E-41 4.400E-41 
5.6859826E+05 6.998E-29 8.760E-29 1.088E-28 1.340E-28 1.634E-28 1.974E-28 2.361E-28 2.799E-28 3.287E-28 3.826E-28 4.411E-28 5.039E-28 5.701E-28 6.389E-28 7.091E-28 7.796E-28 8.489E-28 9.155E-28 9.773E-28 1.032E-27 1.077E-27 1.110E-27 1.124E-27 1.126E-27 1.122E-27 1.115E-27 1.104E-27 1.088E-27 1.066E-27 1.035E-27 9.935E-28 9.384E-28 8.658E-28 7.706E-28 6.467E-28 4.860E-28 2.782E-28 1.087E-29 4.647E-40 4.241E-40 3.837E-40 3.435E-40 3.039E-40 2.647E-40 2.257E-40 1.866E-40 1.464E-40 1.036E-40 5.592E-41 
5.4203057E+05 8.010E-29 1.001E-28 1.241E-28 1.526E-28 1.858E-28 2.241E-28 2.678E-28 3.171E-28 3.720E-28 4.325E-28 4.983E-28 5.686E-28 6.428E-28 7.199E-28 7.984E-28 8.772E-28 9.546E-28 1.029E-27 1.098E-27 1.159E-27 1.209E-27 1.244E-27 1.261E-27 1.262E-27 1.257E-27 1.249E-27 1.236E-27 1.218E-27 1.192E-27 1.157E-27 1.110E-27 1.048E-27 9.656E-28 8.587E-28 7.200E-28 5.403E-28 3.091E-28 1.213E-29 5.905E-40 5.390E-40 4.876E-40 4.366E-40 3.862E-40 3.364E-40 2.869E-40 2.371E-40 1.860E-40 1.316E-40 7.107E-41 
5.1654182E+05 9.137E-29 1.140E-28 1.411E-28 1.732E-28 2.106E-28 2.536E-28 3.027E-28 3.580E-28 4.196E-28 4.874E-28 5.610E-28 6.397E-28 7.226E-28 8.086E-28 8.962E-28 9.840E-28 1.070E-27 1.153E-27 1.229E-27 1.297E-27 1.352E-27 1.392E-27 1.409E-27 1.410E-27 1.405E-27 1.395E-27 1.380E-27 1.359E-27 1.329E-27 1.290E-27 1.236E-27 1.166E-27 1.074E-27 9.542E-28 7.990E-28 5.991E-28 3.423E-28 1.346E-29 7.505E-40 6.851E-40 6.197E-40 5.549E-40 4.908E-40 4.275E-40 3.646E-40 3.014E-40 2.364E-40 1.673E-40 9.033E-41 
4.9236414E+05 1.039E-28 1.293E-28 1.598E-28 1.959E-28 2.379E-28 2.862E-28 3.411E-28 4.030E-28 4.719E-28 5.475E-28 6.296E-28 7.174E-28 8.097E-28 9.054E-28 1.003E-27 1.100E-27 1.196E-27 1.288E-27 1.372E-27 1.447E-27 1.508E-27 1.551E-27 1.571E-27 1.571E-27 1.565E-27 1.553E-27 1.536E-27 1.512E-27 1.478E-27 1.433E-27 1.373E-27 1.294E-27 1.191E-27 1.057E-27 8.845E-28 6.625E-28 3.780E-28 1.494E-29 9.538E-40 8.707E-40 7.876E-40 7.052E-40 6.238E-40 5.433E-40 4.634E-40 3.830E-40 3.004E-40 2.126E-40 1.148E-40 
4.6928166E+05 1.177E-28 1.463E-28 1.805E-28 2.209E-28 2.679E-28 3.219E-28 3.833E-28 4.523E-28 5.291E-28 6.134E-28 7.047E-28 8.023E-28 9.049E-28 1.011E-27 1.119E-27 1.227E-27 1.333E-27 1.435E-27 1.528E-27 1.611E-27 1.678E-27 1.725E-27 1.746E-27 1.746E-27 1.738E-27 1.725E-27 1.706E-27 1.678E-27 1.640E-27 1.589E-27 1.522E-27 1.433E-27 1.318E-27 1.169E-27 9.771E-28 7.312E-28 4.171E-28 1.655E-29 1.212E-39 1.107E-39 1.001E-39 8.963E-40 7.928E-40 6.905E-40 5.889E-40 4.868E-40 3.818E-40 2.702E-40 1.459E-40 
4.4729730E+05 1.330E-28 1.650E-28 2.033E-28 2.484E-28 3.008E-28 3.610E-28 4.293E-28 5.062E-28 5.915E-28 6.851E-28 7.865E-28 8.947E-28 1.008E-27 1.126E-27 1.246E-27 1.365E-27 1.482E-27 1.594E-27 1.697E-27 1.788E-27 1.862E-27 1.913E-27 1.936E-27 1.935E-27 1.926E-27 1.911E-27 1.889E-27 1.857E-27 1.814E-27 1.757E-27 1.681E-27 1.582E-27 1.454E-27 1.289E-27 1.076E-27 8.047E-28 4.582E-28 1.822E-29 1.541E-39 1.406E-39 1.272E-39 1.139E-39 1.008E-39 8.775E-40 7.484E-40 6.187E-40 4.853E-40 3.434E-40 1.854E-40 
4.2639986E+05 1.498E-28 1.856E-28 2.282E-28 2.785E-28 3.368E-28 4.037E-28 4.796E-28 5.649E-28 6.595E-28 7.632E-28 8.754E-28 9.951E-28 1.121E-27 1.251E-27 1.383E-27 1.514E-27 1.643E-27 1.766E-27 1.880E-27 1.979E-27 2.060E-27 2.117E-27 2.141E-27 2.140E-27 2.129E-27 2.112E-27 2.086E-27 2.051E-27 2.002E-27 1.938E-27 1.853E-27 1.743E-27 1.601E-27 1.418E-27 1.183E-27 8.835E-28 5.029E-28 2.014E-29 1.958E-39 1.787E-39 1.617E-39 1.448E-39 1.280E-39 1.115E-39 9.512E-40 7.863E-40 6.168E-40 4.364E-40 2.357E-40 
4.0643418E+05 1.683E-28 2.081E-28 2.556E-28 3.114E-28 3.762E-28 4.504E-28 5.345E-28 6.289E-28 7.335E-28 8.482E-28 9.721E-28 1.104E-27 1.243E-27 1.386E-27 1.531E-27 1.676E-27 1.818E-27 1.953E-27 2.077E-27 2.187E-27 2.275E-27 2.337E-27 2.363E-27 2.361E-27 2.349E-27 2.329E-27 2.300E-27 2.260E-27 2.206E-27 2.134E-27 2.039E-27 1.917E-27 1.759E-27 1.557E-27 1.298E-27 9.692E-28 5.516E-28 2.214E-29 2.488E-39 2.272E-39 2.055E-39 1.840E-39 1.627E-39 1.417E-39 1.209E-39 9.993E-40 7.838E-40 5.546E-40 2.995E-40 
3.8740637E+05 1.885E-28 2.327E-28 2.854E-28 3.473E-28 4.190E-28 5.011E-28 5.941E-28 6.983E-28 8.138E-28 9.402E-28 1.077E-27 1.222E-27 1.375E-27 1.532E-27 1.692E-27 1.851E-27 2.006E-27 2.154E-27 2.291E-27 2.410E-27 2.507E-27 2.573E-27 2.601E-27 2.599E-27 2.585E-27 2.562E-27 2.530E-27 2.485E-27 2.424E-27 2.344E-27 2.239E-27 2.103E-27 1.929E-27 1.706E-27 1.422E-27 1.061E-27 6.027E-28 2.430E-29 3.163E-39 2.887E-39 2.612E-39 2.338E-39 2.068E-39 1.801E-39 1.536E-39 1.270E-39 9.962E-40 7.049E-40 3.806E-40 
